"categoria";"cnpj";"nome_estabelecimento";"uf";"cidade";"endereco";"email";"nota_estabelecimento";"perspectiva_acessibilidade";"recurso_acessibilidade";"possui_recurso";"nome_usuario";"comentario";"ano";"data_cadastramento"
Museus e Atrativos Históricos;"04716375000103    ";PARQUE HISTORICO DE CARAMBEI;PR;CARAMBEI;AV. DOS PIONEIROS, 4050;museu@aphc.com.br ;2,5;DEFICIÊNCIA VISUAL;A escada possui faixa constrastante nos degraus e braile nos corrimãos?;Não;Maria Oliveira;;2.017;2017-02-21 14:44:11
Museus e Atrativos Históricos;"04716375000103    ";PARQUE HISTORICO DE CARAMBEI;PR;CARAMBEI;AV. DOS PIONEIROS, 4050;museu@aphc.com.br ;8,5;MOBILIDADE REDUZIDA;A escada possui faixa constrastante nos degraus e braile nos corrimãos?;Não;Maria Oliveira;;2.017;2017-02-21 14:44:11
Museus e Atrativos Históricos;"04716375000103    ";PARQUE HISTORICO DE CARAMBEI;PR;CARAMBEI;AV. DOS PIONEIROS, 4050;museu@aphc.com.br ;2,5;DEFICIÊNCIA VISUAL;Os pisos da edificação são antiderrapantes?;Sim;Maria Oliveira;;2.017;2017-02-21 14:44:11
Hospedagem;"10359340000167    ";HOTEL TOPAZIO;GO;CRISTALINA;AVENIDA FLAMENGO QUADRA44                  LOTE  09 E 10, RIO DE JANEIRO;;5;MOBILIDADE REDUZIDA;Os pisos da edificação são antiderrapantes?;Não;MARCOS ANTONIO DA SILVA DOS SANTOS;;2.017;2017-02-07 08:55:22
Hospedagem;"05521169000100    ";HOTEL CACIQUE;GO;CRISTALINA;RUA LEON LABOUCIERI , JARDIM PLANALTO;;5;DEFICIÊNCIA FÍSICA OU MOTORA;A área de lazer é adaptada (piscina, brinquedos, quadras, etc.)?;Não;MARCOS ANTONIO DA SILVA DOS SANTOS;;2.017;2017-02-07 08:52:21
Hospedagem;"10359340000167    ";HOTEL TOPAZIO;GO;CRISTALINA;AVENIDA FLAMENGO QUADRA44                  LOTE  09 E 10, RIO DE JANEIRO;;5;MOBILIDADE REDUZIDA;Existem vagas de veículos reservadas e sinalizadas para idosos perto do acesso?;Não;MARCOS ANTONIO DA SILVA DOS SANTOS;;2.017;2017-02-07 08:55:22
Hospedagem;"05521169000100    ";HOTEL CACIQUE;GO;CRISTALINA;RUA LEON LABOUCIERI , JARDIM PLANALTO;;5;DEFICIÊNCIA FÍSICA OU MOTORA;Os pisos da edificação são antiderrapantes?;Sim;MARCOS ANTONIO DA SILVA DOS SANTOS;;2.017;2017-02-07 08:52:21
Hospedagem;"00812651000186    ";ORGANIZACAO S SKAROLE GOYAZ HOTEL LAPIDACAO ANHANGUERA;GO;CRISTALINA;AVENIDA KALED COZAC , CENTRO;;2,5;DEFICIÊNCIA AUDITIVA;Há dispositivo de chamada nos sanitários para casos de emergência?;Não;MARCOS ANTONIO DA SILVA DOS SANTOS;;2.017;2017-02-07 09:00:56
Hospedagem;"00812651000186    ";ORGANIZACAO S SKAROLE GOYAZ HOTEL LAPIDACAO ANHANGUERA;GO;CRISTALINA;AVENIDA KALED COZAC , CENTRO;;2,5;DEFICIÊNCIA AUDITIVA;Há intérprete de LIBRAS disponível?;Não;MARCOS ANTONIO DA SILVA DOS SANTOS;;2.017;2017-02-07 09:00:56
Hospedagem;"05521169000100    ";HOTEL CACIQUE;GO;CRISTALINA;RUA LEON LABOUCIERI , JARDIM PLANALTO;;5;DEFICIÊNCIA FÍSICA OU MOTORA;Existem dormitórios acessíveis?;Sim;MARCOS ANTONIO DA SILVA DOS SANTOS;;2.017;2017-02-07 08:52:21
