Pai?,cod uf,ano,Mês,Chegadas
South Africa,1,2016,january,1
Egypt,1,2016,january,2
Costa Rica,1,2016,january,2
Cuba,1,2016,january,3
Canada,1,2016,january,1
United States,1,2016,january,4
Mexico,1,2016,january,5
Argentina,1,2016,january,14
Bolivia,1,2016,january,1110
Chile,1,2016,january,10
Colombia,1,2016,january,20
Ecuador,1,2016,january,8
Peru,1,2016,january,1568
United Kingdom,1,2016,january,1
Venezuela,1,2016,january,5
Philippines,1,2016,january,1
Israel,1,2016,january,2
Japan,1,2016,january,2
Thailand,1,2016,january,2
Germany,1,2016,january,4
Austria,1,2016,january,2
Belgium,1,2016,january,1
Spain,1,2016,january,8
Estonia,1,2016,january,1
Finland,1,2016,january,2
France,1,2016,january,10
Netherlands,1,2016,january,3
Ireland,1,2016,january,1
Italy,1,2016,january,10
Poland,1,2016,january,2
Portugal,1,2016,january,7
United Kingdom,1,2016,january,6
Romania,1,2016,january,1
Russia,1,2016,january,1
Sweden,1,2016,january,3
Ukraine,1,2016,january,2
Costa Rica,1,2016,february,2
El Salvador,1,2016,february,2
Dominican Republic,1,2016,february,1
Canada,1,2016,february,1
United States,1,2016,february,3
Mexico,1,2016,february,3
Argentina,1,2016,february,18
Bolivia,1,2016,february,749
Chile,1,2016,february,24
Colombia,1,2016,february,21
Ecuador,1,2016,february,4
Paraguay,1,2016,february,1
Peru,1,2016,february,1505
Uruguay,1,2016,february,1
Venezuela,1,2016,february,10
China,1,2016,february,1
Israel,1,2016,february,2
Japan,1,2016,february,2
Malaysia,1,2016,february,1
Germany,1,2016,february,15
Austria,1,2016,february,1
Belgium,1,2016,february,3
Bulgaria,1,2016,february,1
Spain,1,2016,february,3
Finland,1,2016,february,3
France,1,2016,february,9
Greece,1,2016,february,1
Netherlands,1,2016,february,1
Ireland,1,2016,february,1
Italy,1,2016,february,5
Norway,1,2016,february,1
Poland,1,2016,february,3
Portugal,1,2016,february,3
United Kingdom,1,2016,february,2
Sweden,1,2016,february,2
Turkey,1,2016,february,2
Ukraine,1,2016,february,2
Australia,1,2016,february,2
New Zealand,1,2016,february,1
South Africa,1,2016,march,1
Ghana,1,2016,march,3
Nigeria,1,2016,march,1
Cuba,1,2016,march,3
Canada,1,2016,march,3
United States,1,2016,march,5
Mexico,1,2016,march,10
Argentina,1,2016,march,14
Bolivia,1,2016,march,794
Chile,1,2016,march,19
Colombia,1,2016,march,16
Ecuador,1,2016,march,17
Paraguay,1,2016,march,3
Peru,1,2016,march,1346
Venezuela,1,2016,march,8
Israel,1,2016,march,1
Japan,1,2016,march,2
Germany,1,2016,march,18
Austria,1,2016,march,3
Spain,1,2016,march,17
Finland,1,2016,march,1
France,1,2016,march,10
Greece,1,2016,march,1
Italy,1,2016,march,5
Norway,1,2016,march,3
Poland,1,2016,march,3
Portugal,1,2016,march,3
United Kingdom,1,2016,march,5
Sweden,1,2016,march,4
Switzerland,1,2016,march,1
Ukraine,1,2016,march,3
Australia,1,2016,march,4
South Africa,1,2016,april,1
Cape Verde,1,2016,april,1
Guatemala,1,2016,april,1
Canada,1,2016,april,1
United States,1,2016,april,1
Mexico,1,2016,april,6
Argentina,1,2016,april,11
Bolivia,1,2016,april,679
Chile,1,2016,april,13
Colombia,1,2016,april,16
Ecuador,1,2016,april,11
Paraguay,1,2016,april,1
Peru,1,2016,april,906
Uruguay,1,2016,april,2
Venezuela,1,2016,april,3
China,1,2016,april,3
Israel,1,2016,april,2
Thailand,1,2016,april,1
Germany,1,2016,april,2
Austria,1,2016,april,1
Belgium,1,2016,april,2
Spain,1,2016,april,8
Finland,1,2016,april,1
France,1,2016,april,5
Netherlands,1,2016,april,4
Ireland,1,2016,april,1
Italy,1,2016,april,6
Lithuania,1,2016,april,1
Poland,1,2016,april,2
Portugal,1,2016,april,2
United Kingdom,1,2016,april,4
Czech Republic,1,2016,april,1
Romania,1,2016,april,1
Australia,1,2016,april,1
Ghana,1,2016,may,1
Costa Rica,1,2016,may,2
Cuba,1,2016,may,1
El Salvador,1,2016,may,1
United States,1,2016,may,2
Mexico,1,2016,may,1
Argentina,1,2016,may,18
Bolivia,1,2016,may,757
Chile,1,2016,may,13
Colombia,1,2016,may,22
Ecuador,1,2016,may,10
Paraguay,1,2016,may,1
Peru,1,2016,may,913
Uruguay,1,2016,may,2
Venezuela,1,2016,may,2
China,1,2016,may,1
Hong Kong,1,2016,may,1
Cingapura,1,2016,may,1
Philippines,1,2016,may,1
India,1,2016,may,1
Israel,1,2016,may,3
Germany,1,2016,may,10
Austria,1,2016,may,1
Belgium,1,2016,may,2
Bulgaria,1,2016,may,1
Spain,1,2016,may,7
France,1,2016,may,3
Ireland,1,2016,may,3
Italy,1,2016,may,2
Poland,1,2016,may,1
Portugal,1,2016,may,2
United Kingdom,1,2016,may,4
Czech Republic,1,2016,may,1
Russia,1,2016,may,1
Switzerland,1,2016,may,3
Ukraine,1,2016,may,2
New Zealand,1,2016,may,2
South Africa,1,2016,june,3
Costa Rica,1,2016,june,1
Guatemala,1,2016,june,1
Canada,1,2016,june,1
United States,1,2016,june,20
Mexico,1,2016,june,2
Argentina,1,2016,june,28
Bolivia,1,2016,june,607
Chile,1,2016,june,36
Colombia,1,2016,june,21
Ecuador,1,2016,june,7
Guyana,1,2016,june,1
Paraguay,1,2016,june,1
Peru,1,2016,june,813
Uruguay,1,2016,june,2
Venezuela,1,2016,june,8
Philippines,1,2016,june,1
Israel,1,2016,june,1
Germany,1,2016,june,13
Bulgaria,1,2016,june,1
Slovakia,1,2016,june,1
Spain,1,2016,june,5
Estonia,1,2016,june,1
Finland,1,2016,june,2
France,1,2016,june,6
Greece,1,2016,june,1
Netherlands,1,2016,june,4
Italy,1,2016,june,4
Norway,1,2016,june,1
Poland,1,2016,june,2
Portugal,1,2016,june,2
United Kingdom,1,2016,june,8
Russia,1,2016,june,2
Switzerland,1,2016,june,2
Ukraine,1,2016,june,1
South Africa,1,2016,july,2
Costa Rica,1,2016,july,3
Haiti,1,2016,july,1
Canada,1,2016,july,2
United States,1,2016,july,17
Mexico,1,2016,july,5
Argentina,1,2016,july,34
Bolivia,1,2016,july,1032
Chile,1,2016,july,23
Colombia,1,2016,july,41
Ecuador,1,2016,july,19
Guyana,1,2016,july,2
Paraguay,1,2016,july,4
Peru,1,2016,july,1896
Uruguay,1,2016,july,2
Venezuela,1,2016,july,8
Japan,1,2016,july,1
Germany,1,2016,july,13
Denmark,1,2016,july,1
Spain,1,2016,july,10
France,1,2016,july,18
Netherlands,1,2016,july,3
Ireland,1,2016,july,2
Italy,1,2016,july,3
Luxembourg,1,2016,july,1
Norway,1,2016,july,3
Poland,1,2016,july,1
United Kingdom,1,2016,july,4
Russia,1,2016,july,6
Serbia,1,2016,july,1
Sweden,1,2016,july,4
Switzerland,1,2016,july,7
Ukraine,1,2016,july,1
Australia,1,2016,july,2
Costa Rica,1,2016,august,1
Cuba,1,2016,august,1
Honduras,1,2016,august,1
Canada,1,2016,august,10
United States,1,2016,august,9
Mexico,1,2016,august,3
Argentina,1,2016,august,33
Bolivia,1,2016,august,763
Chile,1,2016,august,27
Colombia,1,2016,august,49
Ecuador,1,2016,august,7
Peru,1,2016,august,1587
Uruguay,1,2016,august,1
Venezuela,1,2016,august,24
China,1,2016,august,1
Philippines,1,2016,august,2
India,1,2016,august,1
Japan,1,2016,august,1
Thailand,1,2016,august,1
Germany,1,2016,august,16
Austria,1,2016,august,2
Belgium,1,2016,august,2
Slovakia,1,2016,august,2
Spain,1,2016,august,15
Estonia,1,2016,august,1
France,1,2016,august,8
Netherlands,1,2016,august,3
Hungary,1,2016,august,1
Italy,1,2016,august,15
Lithuania,1,2016,august,2
Luxembourg,1,2016,august,1
Portugal,1,2016,august,5
United Kingdom,1,2016,august,2
Czech Republic,1,2016,august,2
Russia,1,2016,august,5
Sweden,1,2016,august,2
Switzerland,1,2016,august,7
Australia,1,2016,august,3
South Africa,1,2016,september,1
Guatemala,1,2016,september,1
Haiti,1,2016,september,1
Canada,1,2016,september,2
United States,1,2016,september,11
Mexico,1,2016,september,1
Argentina,1,2016,september,46
Bolivia,1,2016,september,621
Chile,1,2016,september,20
Colombia,1,2016,september,24
Ecuador,1,2016,september,9
Peru,1,2016,september,1153
Uruguay,1,2016,september,2
Venezuela,1,2016,september,12
China,1,2016,september,2
Israel,1,2016,september,1
Pakistan,1,2016,september,1
Germany,1,2016,september,9
Austria,1,2016,september,1
Spain,1,2016,september,9
France,1,2016,september,2
Netherlands,1,2016,september,1
Hungary,1,2016,september,3
Ireland,1,2016,september,1
Italy,1,2016,september,2
Poland,1,2016,september,1
Portugal,1,2016,september,5
United Kingdom,1,2016,september,6
Sweden,1,2016,september,1
Switzerland,1,2016,september,2
Australia,1,2016,september,4
New Zealand,1,2016,september,2
Cuba,1,2016,october,1
Canada,1,2016,october,4
United States,1,2016,october,12
Mexico,1,2016,october,6
Argentina,1,2016,october,28
Bolivia,1,2016,october,673
Chile,1,2016,october,17
Colombia,1,2016,october,22
Ecuador,1,2016,october,8
Paraguay,1,2016,october,2
Peru,1,2016,october,1324
Uruguay,1,2016,october,3
Venezuela,1,2016,october,6
China,1,2016,october,3
Philippines,1,2016,october,1
Germany,1,2016,october,11
Austria,1,2016,october,1
Belgium,1,2016,october,3
Denmark,1,2016,october,1
Spain,1,2016,october,5
Estonia,1,2016,october,7
France,1,2016,october,11
Netherlands,1,2016,october,1
Hungary,1,2016,october,1
Italy,1,2016,october,7
