Iker Casillas, 20 May 1981 Spain
Gerard Pique, 2 February 1987 Spain
Javi Martínez, 2 September 1988 Spain
Andres Iniesta,	11 May 1984 Spain
David Villa,	3 December 1981 Spain
Xavi Hernandez,	25 January 1980 Spain
Fernando Torres, 20 March 1984 Spain
Cesc Fabregas, 4 May 1987 Spain
Pedro, 28 July 1987 Spain
David de Gea, 7 November 1990 Spain
Juan Mata, 28 April 1988 Spain
Xabi Alonso,	25 November 1981 Spain
Sergio Ramos, 30 March 1986 Spain
Sergio Busquets, 16 July 1988 Spain
Koke, 8 January 1992 Spain
Jordi Alba, 21 March 1989 Spain
Diego Costa,	7 October 1988 Spain
Santi Cazorla, 13 December 1984 Spain
David Silva,	8 January 1986 Spain
Cesar Azpilicueta,	28 August 1989 Spain
Sergi Roberto, 7 February 1992 Spain
Thiago Alcantara, 11 April 1991 Spain
Marco Asensio, 21 January 1996 Spain
Alvaro Morata, 23 October 1992 Spain
Iago Aspas, 1 August 1987 Spain
Dani Carvajal, 11 January 1992 Spain
Isco, 21 April 1992 Spain
Ander Herrera, 14 August 1989 Spain
Claudio Bravo, 13 April 1983 Chile
Alexis Sanchez,	19 December 1988 Chile
Arturo Vidal, 22 May 1987 Chile
Arjen Robben, 23 January 1984 Netherlands
Memphis Depay, 13 February 1994 Netherlands
Ivan Rakitic, 10 March 1988 Croatia
Luka Modric,	9 September 1985 Croatia
Mateo Kovacic, 6 May 1994 Croatia
Javier Hernandez,	1 June 1988 Mexico
Guillermo Ochoa, 13 July 1985 Mexico
James Rodriguez, 12 July 1991 Colombia
Juan Cuadrado,	26 May 1988 Colombia
Radamel Falcao Garcia, 10 February 1986 Colombia
Shinji Kagawa,	17 March 1989 Japan
Antoine Griezmann, 21 March 1991 France
Paul Pogba, 15 March 1993 France
NGolo Kante, 29 March 1991 France
Karim Benzema, 19 December 1987 France
Olivier Giroud, 30 September 1986 France
Franck Ribery, 7 April 1983 France
Alexandre Lacazette, 28 May 1991 France
Raphael Varane, 25 April 1993 France
Blaise Matuidi, 9 April 1987 France
Samuel Umtiti, 14 November 1993 France
Hugo Lloris, 26 December 1986 France
Ousmane Dembele, 15 May 1997 France
Kylian Mbappe, 20 December 1998 France
Anthony Martial, 5 December 1995 France
Thomas Lemar, 12 November 1995 France
Javier Mascherano, 8 June 1984 Argentina
Nicolas Otamendi,	12 February 1988 Argentina
Lionel Messi, 24 June 1987 Argentina
Angel Di Maria,	14 February 1988 Argentina
Paulo Dybala, 15 November 1993 Argentina
Sergio Aguero,	2 June 1988 Argentina
Javier Pastore, 20 June 1989 Argentina
Mauro Icardi, 19 February 1993 Argetina
Gonzalo Higuain, 10 December 1987 Argentina
Manuel Neuer, 27 March 1986 Germany
Marc-Andre ter Stegen, 30 April 1992 Germany
Mats Hummels, 16 December 1988 Germany
Joshua Kimmich,	8 February 1995 Germany
Sami Khedira, 4 April 1987 Germany
Julian Draxler, 20 September 1993 Germany
Toni Kroos, 4 January 1990 Germany
Mesut Ozil, 15 October 1988 Germany
Mario Gotze, 3 June 1992 Germany
Ilkay Gundogan, 24 October 1990 Germany
Leroy Sane,	11 January 1996 Germany
Jerome Boateng, 3 September 1988 Germany
Thomas Muller,	13 September 1989 Germany
Andre Schurrle, 6 November 1990 Germany
Nelson Semedo, 16 November 1993 Portugal
Pepe, 26 February 1983 Portugal
Bernardo Silva,	10 August 1994 Portugal
Goncalo Guedes,	29 November 1996 Portugal
Cristiano Ronaldo, 5 February 1985 Portugal
Ricardo Quaresma,	26 September 1983 Portugal
Thibaut Courtois,	11 May 1992 Belgium
Thomas Vermaelen,	14 November 1985 Belgium
Eden Hazard, 7 January 1991 Belgium
Kevin De Bruyne, 28 June 1991 Belgium
Romelu Lukaku,	13 May 1993 Belgium
Joe Hart,	19 April 1987 United Kingdom
Gary Cahill,	19 December 1985 United Kingdom
Kyle Walker,	28 May 1990 United Kingdom
Ashley Young, 9 July 1985 United Kingdom
Jesse Lingard,	15 December 1992 United Kingdom
Jamie Vardy,	11 January 1987 United Kingdom
Marcus Rashford, 31 October 1997 United Kingdom
Dele Alli, 11 April 1996 United Kingdom
Harry Kane, 28 July 1993 United Kingdom
Luis Suarez, 24 January 1987 Uruguay
Diego Godin, 16 February 1986 Uruguay
Edinson Cavani, 14 February 1987 Uruguay
Robert Lewandowski, 21 August 1988 Poland
Gareth Bale, 16 July 1989 United Kingdom
Gianluigi Buffon, 28 January 1978 Italy
Gianluigi Donnarumma, 25 February 1999 Italy
Giorgio Chiellini, 14 August 1984 Italy
Andrea Barzagli, 8 May 1981 Italy
Leonardo Bonucci, 1 May 1987 Italy
Lorenzo Insigne, 4 June 1991 Italy
Stephan El Shaarawy, 27 October 1992 Italy
Marco Verratti, 5 November 1992 Italy
Ciro Immobile,	20 February 1990 Italy
Francesco Totti, 27 September 1976 Italy
Andrea Pirlo, 19 May 1979 Italy
Zlatan Ibrahimovic, 3 October 1981 Sweden
Pierre Aubameyang, 29 May 1965 Gabon
Henrikh Mkhitaryan, 21 January 1989 Armenia
Keylor Navas, 15 December 1986 Costa Rica
